person_id,body_id,body_name,member_type,title,start_date,end_date
3,167,TRANSPORT 2020 IMPLEMENTATION TASK FORCE (ended 12/2017),Member,,2003-08-05,2006-05-11
3,150,ICE ARENA AD HOC COMMITTEE (prior to 1-18-2005),Member,,2002-11-19,2005-01-18
3,146,GOLF SUBCOMMITTEE (ended 3-2023),Member,,2005-01-01,2023-03-31
3,177,BOARD OF ESTIMATES TIF SUBCOMMITTEE,Member,,2005-01-01,2006-09-28
3,54,MADISON CULTURAL ARTS DISTRICT BOARD,Member,,2002-11-05,2005-04-19
3,5,ALCOHOL LICENSE REVIEW COMMITTEE,Member,,2003-10-01,2005-04-19
3,4,BOARD OF ESTIMATES (ended 4/2017),Member,,1989-04-18,2005-04-19
3,209,MADISON ELECTION ADVISORY COMMITTEE (Ended 7/2014),Member,,2006-08-01,2008-02-13
3,36,WATER UTILITY BOARD,Member,,2007-09-18,2008-02-13
3,273,OVERTURE AD HOC COMMITTEE (ended 12/2010),Member,,2010-08-03,2010-12-31
3,277,REAPPORTIONMENT & REDISTRICTING AD HOC COMMITTEE (ended 8/2011),Member,,2011-02-01,2011-02-21
3,235,CAPITAL AREA REGIONAL PLANNING COMMISSION (CARPC),Member,,2011-06-21,2014-09-23
4,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Chair,,2003-04-15,2004-04-19
4,5,ALCOHOL LICENSE REVIEW COMMITTEE,Member,Common Council Member,2005-04-20,2026-04-21
4,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2004-09-07,2007-04-16
4,165,STATE STREET DESIGN PROJECT OVERSIGHT COMMITTEE (ended 12/12/2013),Member,District 4 Alder,2002-05-21,2013-12-12
4,162,SESQUICENTENNIAL AD HOC COMMISSION (prior to 12-1-2006),Member,,2004-07-06,2006-12-01
4,44,DOWNTOWN COORDINATING COMMITTEE,Member,Common Council Member,2000-09-05,2026-04-21
4,155,MID-STATE STREET PARKING RAMP COMMITTEE (prior to 11-15-2004),Member,,2004-07-01,2004-11-15
4,152,JOINT SOUTHEAST CAMPUS AREA COMMITTEE (ended 3/2018),Member,District 4 Alder,2002-11-19,2018-03-29
4,49,ETHICS BOARD,Member,Common Council President or Designee,2003-05-06,2026-04-21
4,50,HOUSING COMMITTEE (ended 6/2012),Member,,1999-03-16,2007-04-16
4,136,BASSETT TIF SET-ASIDE AD HOC COMMITTEE (prior to 1-17-2007),Member,,2002-03-19,2007-01-17
4,54,MADISON CULTURAL ARTS DISTRICT BOARD,Member,Common Council Member,2001-02-06,2026-04-21
4,121,MATC DOWNTOWN EDUCATION ADVISORY COMMITTEE (ended 4/2019),Member,Common Council Member,1995-11-07,2019-04-01
4,114,MADISON'S CENTRAL BUSINESS IMPROVEMENT DISTRICT (BID) BOARD,Member,District 4 Alder,2003-01-21,2026-04-21
4,112,SENIOR CENTER BOARD OF DIRECTORS (ended 5/2012),Member,,1995-04-18,2012-05-01
4,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2004-05-04,2005-04-19
4,12,MADISON ARTS COMMISSION,Member,,2003-04-15,2005-04-19
4,199,LANDLORD AND TENANT ISSUES SUBCOMMITTEE (ended 6/2012),Member,,2005-01-01,2007-04-17
4,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2006-09-19,2007-04-16
4,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2007-04-17,2008-04-15
4,232,JAMES MADISON PARK PROPERTY PLANNING COMMITTEE (work completed 1-14-2009),Member,,2007-04-17,2009-01-15
4,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Chair,,2007-04-17,2008-04-15
4,241,"ERLANGER, JEFFREY CLAY, CIVILITY IN PUBLIC DISCOURSE AWARD COMMITTEE",Member,,2007-09-18,2008-04-15
4,242,VENDING OVERSIGHT COMMITTEE (prior to 8-4-2009),Member,Common Council or Citizen Member,2007-11-01,2009-08-03
4,249,FRANCES PLAZA PUBLIC ART SELECTION COMMITTEE (work completed 8-5-2008),Member,,2008-03-18,2008-08-08
4,4,BOARD OF ESTIMATES (ended 4/2017),Member,Common Council Member,2008-04-16,2016-04-19
4,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2008-04-22,2009-04-21
4,17,VENDING OVERSIGHT COMMITTEE (prior to 11-01-2007),Member,,2003-04-15,2007-10-31
4,263,VENDING OVERSIGHT COMMITTEE,Member,Downtown Common Council Member - Voting,2009-08-04,2026-04-21
4,39,CITY-COUNTY LIAISON COMMITTEE,Member,District 13 Alder,2010-02-02,2011-04-18
4,273,OVERTURE AD HOC COMMITTEE (ended 12/2010),Member,,2010-08-03,2010-12-31
4,56,MONONA TERRACE COMMUNITY AND CONVENTION CENTER BOARD,Member,City Appointee,2011-07-19,2027-05-01
4,285,AD HOC COMMITTEE ON MOPED PARKING (ended 8/2017),Member,,2012-03-06,2015-04-21
4,288,COMMITTEE ON AGING,Member,Common Council Member,2012-06-12,2025-03-11
4,293,JUDGE DOYLE SQUARE COMMITTEE  (ended 2/2014),Member,Common Council Member,2012-09-18,2014-02-28
4,297,TIF POLICY REVIEW AD HOC COMMITTEE (ended 4/2014),Member,Board of Estimates Member (Alder),2013-01-22,2014-04-01
4,300,SOUTH CAPITOL DISTRICT PLANNING COMMITTEE (ended 2/9/2015),Member,Common Council Member,2013-03-05,2015-02-09
4,304,LAMP HOUSE BLOCK AD HOC PLAN COMMITTEE (ended 3/2014),Member,Common Council Member,2013-09-17,2014-03-04
4,311,AD HOC DOWNTOWN PUBLIC RESTROOM COMMITTEE (ended 5/2015),Member,Downtown Alder,2014-05-21,2015-04-21
4,314,COMMITTEE ON EMPLOYEE RELATIONS,Member,Finance Committee Member,2015-04-21,2021-04-20
4,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,Alternate Common Council Member,2016-02-02,2016-04-19
4,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,Common Council President,2016-04-19,2017-04-18
4,241,"ERLANGER, JEFFREY CLAY, CIVILITY IN PUBLIC DISCOURSE AWARD COMMITTEE",Member,Common Council President,2016-04-19,2017-04-18
4,4,BOARD OF ESTIMATES (ended 4/2017),Member,Common Council President,2016-04-19,2017-04-18
4,1322,ROOM TAX COMMISSION,Member,Common Council Member,2016-06-21,2026-04-21
4,1324,FINANCE COMMITTEE,Member,Common Council Member,2017-04-18,2026-04-21
4,257,COMMITTEE ON SWEATFREE PURCHASES (Ended 6-2024),Member,Finance Committee Member,2017-04-18,2024-06-29
4,1325,COMMON COUNCIL EXECUTIVE COMMITTEE,Member,Alternate Common Council Member,2017-05-02,2018-04-17
4,1339,JOINT CAMPUS AREA COMMITTEE,Member,District 4 Alder,2018-04-17,2026-04-21
4,156,MONONA TERRACE BOOKING EVENT ASSISTANCE ADVISORY COMMITTEE,Member,Common Council Member,2019-04-16,2026-04-21
4,314,COMMITTEE ON EMPLOYEE RELATIONS,Member,Finance Committee Member,2022-05-24,2025-04-15
5,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2004-05-04,2005-04-19
5,153,JOINT WEST CAMPUS AREA COMMITTEE (ended 3/2018),Member,,2003-04-15,2009-04-20
5,94,"METROPOLITAN PLANNING ORGANIZATION (prior to May, 2007)",Member,,2003-04-15,2007-05-02
5,109,PEDESTRIAN/BICYCLE/MOTOR VEHICLE COMMISSION (ended 6/2018),Member,,2003-04-15,2009-04-20
5,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,,2003-06-03,2009-04-20
5,16,TRANSIT AND PARKING COMMISSION (ended 06/2018),Member,,2003-04-15,2005-04-19
5,40,COMMITTEE ON THE ENVIRONMENT (ended 6/2020),Member,,2003-04-15,2005-04-19
5,178,STREETCAR STUDY COMMITTEE (prior to 11-21-2007),Member,,2005-05-17,2007-11-21
5,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2006-05-02,2009-04-20
5,225,REGENT STREET-SOUTH CAMPUS PLAN STEERING COMMITTEE (prior to 7-1-2008),Member,,2007-01-02,2008-07-01
5,236,MADISON AREA TRANSPORTATION PLANNING BOARD (MPO) (prior to 9/30/2023),Member,,2007-04-17,2009-04-20
5,16,TRANSIT AND PARKING COMMISSION (ended 06/2018),Member,,2007-04-17,2009-04-20
5,210,GARVER BUILDING REUSE COMMITTEE (prior to 3-25-2008),Member,,2007-04-17,2008-06-20
5,109,PEDESTRIAN/BICYCLE/MOTOR VEHICLE COMMISSION (ended 6/2018),Vice Chair,Citizen (Bicycle Advocate),2009-05-05,2015-07-20
5,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,Pedestrian/Bicycle/Motor Vehicle Commission Chair or Designee,2009-07-21,2015-07-30
5,153,JOINT WEST CAMPUS AREA COMMITTEE (ended 3/2018),Member,,2009-10-20,2012-04-30
5,153,JOINT WEST CAMPUS AREA COMMITTEE (ended 3/2018),Member,Transportation-Related Committee Member,2012-09-18,2015-07-30
5,1348,TRANSPORTATION COMMISSION,Member,Adult City Resident,2021-11-16,2023-06-19
5,1348,TRANSPORTATION COMMISSION,Member,Resident Member,2023-06-20,2026-06-30
5,1339,JOINT CAMPUS AREA COMMITTEE,Member,Transportation-Related City Committee Member,2023-08-01,2026-06-30
6,5,ALCOHOL LICENSE REVIEW COMMITTEE,Member,,2002-11-05,2007-04-16
6,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2001-04-17,2007-04-16
6,173,WILLIAMSON STREET BUILD II ADVISORY COMMITTEE (prior to 1-18-2005),Member,,2004-07-01,2005-01-18
6,159,REGENT/PARK EXPANDED TID 26 AFFORDABLE HOUSING SET-ASIDE COMMITTEE (prior to 4-5-2007),Member,,2004-01-06,2007-04-05
6,147,GREEN FLEET REVIEW SUBCOMMITTEE (prior to 11-16-2004),Member,,2004-07-01,2005-04-19
6,52,LANDMARKS COMMISSION,Member,,2001-04-17,2007-04-16
6,141,EAST WASHINGTON AVENUE DESIGN OVERSIGHT COMMITTEE (prior to 1-19-2007),Member,,2002-09-03,2007-01-19
6,134,"ALCOHOL USE IN PARKS AND CENTRAL CITY, AD HOC COMMITTEE TO INVESTIGATE (ended 3/2006)",Member,,2004-06-15,2006-03-21
6,133,ALCOHOL AND OTHER DRUGS POLICY COMMITTEE (prior to 3-21-2006),Member,,2003-09-02,2006-03-21
6,131,TIF REVIEW BOARD,Member,,2001-04-17,2007-04-16
6,123,NORTH MENDOTA PARKWAY ADVISORY COMMITTEE (prior to 10-22-2003),Member,,2003-09-05,2003-10-22
6,6,PUBLIC HEALTH COMMISSION (prior to 4-29-2005),Member,,2004-10-05,2005-04-29
6,177,BOARD OF ESTIMATES TIF SUBCOMMITTEE,Member,,2005-01-01,2006-09-28
6,142,EAST WASHINGTON/CAPITOL GATEWAY BUILD STEERING COMMITTEE(prior to 01/20/2010) ,Member,,2004-11-09,2007-04-16
6,178,STREETCAR STUDY COMMITTEE (prior to 11-21-2007),Member,,2005-02-01,2007-04-16
6,186,BOARD OF HEALTH FOR MADISON AND DANE COUNTY,Member,,2005-04-19,2007-04-16
6,195,SUSTAINABLE DESIGN AND ENERGY COMMITTEE (ended 6/2012),Member,,2005-07-05,2007-04-16
6,210,GARVER BUILDING REUSE COMMITTEE (prior to 3-25-2008),Member,,2006-09-05,2007-04-16
6,216,TAX INCREMENTAL FINANCING POLICY AD HOC COMMITTEE,Member,,2006-10-17,2007-04-16
6,227,CENTRAL PARK DESIGN AND IMPLEMENTATION TASK FORCE (ended 6/2011),Member,,2007-02-27,2007-04-17
6,210,GARVER BUILDING REUSE COMMITTEE (prior to 3-25-2008),Member,,2007-04-17,2008-06-20
6,178,STREETCAR STUDY COMMITTEE (prior to 11-21-2007),Member,,2007-05-15,2007-11-21
6,234,BLUE RIBBON COMMITTEE ON CLEAN ELECTIONS (ended 8/2009),Member,,2007-07-03,2009-08-19
6,3,PLAN COMMISSION,Member,,2007-09-04,2012-02-07
6,247,"NEIGHBORHOOD SUPPORT OFFICE, ADVISORY COMMITTEE TO GUIDE DEVELOPMENT & IMPLEMENTATION OF THE (prior to 1-2009)",Member,,2008-04-22,2009-01-02
6,255,HOUSING DIVERSITY PLANNING AD HOC COMMITTEE (ended 5/2011),Member,,2009-04-21,2011-05-26
6,272,MADISON CITY CHANNEL AD HOC ADVISORY COMMITTEE (ended 8/2010),Member,,2010-01-19,2010-08-31
7,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2003-05-06,2004-04-19
7,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2005-04-20,2008-09-01
7,169,VERONA ROAD/WEST BELTLINE HIGHWAY ADVISORY COMMITTEE (prior to 3-7-2005),Member,,2003-04-15,2005-03-07
7,44,DOWNTOWN COORDINATING COMMITTEE,Member,,2004-01-16,2005-06-20
7,47,ECONOMIC DEVELOPMENT COMMITTEE,Member,,2003-04-15,2008-09-01
7,151,JOINT MONONA TERRACE/ALLIANT ENERGY STUDY COMMITTEE (prior to 9-13-2004),Member,,2004-07-01,2004-12-20
7,54,MADISON CULTURAL ARTS DISTRICT BOARD,Member,,2005-04-20,2008-09-01
7,6,PUBLIC HEALTH COMMISSION (prior to 4-29-2005),Member,,2004-10-05,2005-04-29
7,39,CITY-COUNTY LIAISON COMMITTEE,Member,,2003-04-15,2005-04-19
7,103,BOARD OF EDUCATION - COMMON COUNCIL LIAISON COMMITTEE (prior to 6/12/2012),Member,,2003-04-15,2005-04-19
7,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2005-05-03,2006-04-18
7,48,EQUAL OPPORTUNITIES COMMISSION,Member,,2005-07-19,2007-04-16
7,216,TAX INCREMENTAL FINANCING POLICY AD HOC COMMITTEE,Member,,2006-10-17,2008-09-16
7,235,CAPITAL AREA REGIONAL PLANNING COMMISSION (CARPC),Member,,2007-04-17,2016-04-01
7,39,CITY-COUNTY LIAISON COMMITTEE,Member,,2007-04-17,2008-09-01
8,41,COMMUNITY DEVELOPMENT BLOCK GRANT COMMITTEE,Member,,2004-01-06,2006-06-22
8,165,STATE STREET DESIGN PROJECT OVERSIGHT COMMITTEE (ended 12/12/2013),Member,,2003-04-15,2007-04-16
8,152,JOINT SOUTHEAST CAMPUS AREA COMMITTEE (ended 3/2018),Member,,2003-04-15,2007-04-16
8,50,HOUSING COMMITTEE (ended 6/2012),Member,,2003-05-06,2007-04-16
8,183,HOUSING AFFORDABILITY SUBCOM OF THE HOUSING COM,Member,,2005-01-01,2005-04-30
8,26,BOARD OF PARK COMMISSIONERS,Member,,2004-07-06,2005-04-19
8,109,PEDESTRIAN/BICYCLE/MOTOR VEHICLE COMMISSION (ended 6/2018),Member,,2004-07-06,2005-04-19
8,14,PUBLIC SAFETY REVIEW COMMITTEE,Member,,2003-04-15,2005-04-19
8,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2005-05-03,2006-04-18
8,14,PUBLIC SAFETY REVIEW COMMITTEE,Member,,2005-09-06,2007-04-16
8,199,LANDLORD AND TENANT ISSUES SUBCOMMITTEE (ended 6/2012),Member,,2005-01-01,2007-04-17
8,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2006-04-18,2007-04-16
8,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Chair,,2006-04-18,2007-04-16
8,225,REGENT STREET-SOUTH CAMPUS PLAN STEERING COMMITTEE (prior to 7-1-2008),Member,,2007-01-02,2007-04-16
10,3,PLAN COMMISSION,Member,,2005-05-01,2007-04-16
10,169,VERONA ROAD/WEST BELTLINE HIGHWAY ADVISORY COMMITTEE (prior to 3-7-2005),Member,,2001-06-19,2005-03-07
10,153,JOINT WEST CAMPUS AREA COMMITTEE (ended 3/2018),,,2002-09-17,2007-04-16
10,135,ALLIED TIF SET-ASIDE AD HOC COMMITTEE (prior to 1-17-2007),Member,,2002-03-19,2007-01-17
10,124,PLANNING USER ADVISORY GROUP (Dane County) (prior to 4-4-2005),Member,,1995-03-21,2005-04-05
10,94,"METROPOLITAN PLANNING ORGANIZATION (prior to May, 2007)",Chair,,1999-11-16,2007-05-02
10,16,TRANSIT AND PARKING COMMISSION (ended 06/2018),Member,,1997-04-15,2007-04-16
10,39,CITY-COUNTY LIAISON COMMITTEE,Member,,2005-04-20,2007-04-16
10,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,,1998-03-10,2005-09-05
10,178,STREETCAR STUDY COMMITTEE (prior to 11-21-2007),Member,,2005-03-15,2007-05-15
10,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2003-04-15,2005-04-19
10,53,LONG RANGE TRANSPORTATION PLANNING COMMITTEE (ended 6/2018),Member,,2005-09-06,2007-04-16
10,204,LONG RANGE METRO TRANSIT PLANNING AD HOC COMMITTEE,Member,,2006-09-05,2007-05-15
10,225,REGENT STREET-SOUTH CAMPUS PLAN STEERING COMMITTEE (prior to 7-1-2008),Member,,2007-01-02,2007-04-16
10,218,"PARKING STRATEGIC PLAN, AD HOC COMMITTEE TO DEVELOP (ended 4/2012)",Member,Common Council or Citizen Member,2007-02-27,2007-04-16
10,184,ALLIED AREA TASK FORCE,Member,Common Council or Citizen Member,2005-03-29,2007-04-16
10,235,CAPITAL AREA REGIONAL PLANNING COMMISSION (CARPC),Member,Mayoral Appointee,2011-06-21,2020-04-01
10,236,MADISON AREA TRANSPORTATION PLANNING BOARD (MPO) (prior to 9/30/2023),Member,Transportation-Related City Committee Member,2011-06-21,2019-07-30
10,16,TRANSIT AND PARKING COMMISSION (ended 06/2018),Member,First Alternate (Citizen or Alder),2011-09-20,2013-05-20
10,16,TRANSIT AND PARKING COMMISSION (ended 06/2018),Member,Citizen Member,2013-05-21,2018-06-30
10,31,ADA TRANSIT SUBCOMMITTEE TO THE TRANSIT AND PARKING COMM (ended 6/2018),Member,Transit and Parking Commission Member,2015-09-15,2017-02-08
10,139,CONTRACTED SERVICE OVERSIGHT SUBCOMMITTEE (ended 6/2018),Member,Transit and Parking Commission Member,2016-09-20,2018-06-30
11,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2001-04-17,2004-04-19
11,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2004-04-20,2005-04-19
11,169,VERONA ROAD/WEST BELTLINE HIGHWAY ADVISORY COMMITTEE (prior to 3-7-2005),Member,,2001-06-19,2005-03-07
11,166,SWIMMING POOL AD HOC COMMITTEE (prior to 6-25-2009),Member,,2004-02-03,2009-06-25
11,162,SESQUICENTENNIAL AD HOC COMMISSION (prior to 12-1-2006),Member,,2004-07-06,2006-12-01
11,3,PLAN COMMISSION,Member,,2003-05-01,2005-04-30
11,36,WATER UTILITY BOARD,Member,,1993-04-20,2005-04-19
11,31,ADA TRANSIT SUBCOMMITTEE TO THE TRANSIT AND PARKING COMM (ended 6/2018),Member,,1998-07-07,2005-04-18
11,42,COMMUNITY SERVICES COMMITTEE (ended 3/2025),Member,,1999-07-20,2005-04-19
11,153,JOINT WEST CAMPUS AREA COMMITTEE (ended 3/2018),,,2002-09-17,2005-04-19
11,99,CANVASSERS BOARD (prior to 6-11-2009),Member,,2005-05-03,2006-04-03
11,99,CANVASSERS BOARD (prior to 6-11-2009),Member,Ms.,2006-04-04,2009-06-11
11,98,ADMINISTRATIVE REVIEW BOARD (prior to 12/7/2011),Member,,2007-10-02,2011-11-29
11,42,COMMUNITY SERVICES COMMITTEE (ended 3/2025),Member,Community Representative,2011-06-21,2018-12-20
12,10,COMMON COUNCIL ORGANIZATIONAL COMMITTEE (ended 4/2017),Member,,2004-05-04,2005-04-19
12,4,BOARD OF ESTIMATES (ended 4/2017),Member,,2005-04-20,2007-04-16
12,32,AFFIRMATIVE ACTION COMMISSION,Member,,2003-04-15,2007-04-16
12,41,COMMUNITY DEVELOPMENT BLOCK GRANT COMMITTEE,Member,,2004-06-15,2005-04-19
12,45,EARLY CHILDHOOD CARE AND EDUCATION COMMITTEE,Member,,2003-04-15,2006-01-25
